Date,T(off-chip),L(lux),T2(on-board),H(rel%),T3(hum-sensor),P(Pa),M(5sec)
2021-04-27 11:15:01.760440,11,35,24,41,26,101475,0
2021-04-27 11:30:02.032054,11,33,24,41,26,101463,1
2021-04-27 11:45:01.218512,12,33,24,40,26,101452,1
2021-04-27 12:00:01.428579,11,32,24,40,26,101432,1
2021-04-27 12:15:01.622968,10,32,24,39,27,101417,0
2021-04-27 12:30:01.889478,12,32,24,41,26,101396,0
2021-04-27 12:45:02.091818,11,32,24,40,26,101388,0
2021-04-27 13:00:01.283206,12,31,24,40,26,101361,0
2021-04-27 13:15:01.489764,12,31,24,41,27,101340,0
2021-04-27 13:30:01.761873,12,29,25,40,27,101324,0
2021-04-27 13:45:01.964656,12,29,25,40,27,101299,0
2021-04-27 14:00:02.184133,12,29,25,40,27,101283,0
2021-04-27 14:15:01.392512,12,30,25,40,27,101277,1
2021-04-27 14:30:01.648448,12,28,24,41,26,101250,0
2021-04-27 14:45:01.855537,13,29,24,41,26,101235,0
2021-04-27 15:00:02.060665,13,28,24,41,26,101216,0
2021-04-27 15:15:01.254638,13,29,24,41,26,101199,0
2021-04-27 15:30:01.527504,13,30,25,41,27,101178,1
2021-04-27 15:45:01.741414,13,29,25,41,26,101156,1
2021-04-27 16:00:01.949473,13,29,25,40,26,101133,0
2021-04-27 16:15:02.159295,13,28,24,40,27,101111,0
2021-04-27 16:30:01.422579,13,27,25,31,27,101097,0
2021-04-27 16:45:01.629534,13,28,25,35,27,101087,0
2021-04-27 17:00:01.846768,14,26,25,38,27,101064,0
2021-04-27 17:15:02.060187,14,27,25,38,27,101051,0
2021-04-27 17:30:01.316339,14,26,25,39,27,101044,0
2021-04-27 17:45:01.511293,14,26,25,37,27,101028,0
2021-04-27 18:00:01.713195,14,25,25,36,27,101016,0
2021-04-27 18:15:01.918957,14,23,25,39,27,101007,0
2021-04-27 18:30:02.177326,14,23,24,40,27,101011,0
2021-04-27 18:45:01.388642,14,21,24,41,27,101000,0
2021-04-27 19:00:01.596596,14,19,24,40,27,100990,0
2021-04-27 19:15:01.800567,14,17,24,41,26,100980,1
2021-04-27 19:30:02.069323,14,12,24,40,26,100989,0
2021-04-27 19:45:01.261396,14,7,25,43,26,100995,0
2021-04-27 20:00:01.472384,14,4,25,44,26,101005,1
2021-04-27 20:15:01.677789,14,1,27,41,29,101006,0
2021-04-27 20:30:01.948588,13,0,27,40,29,101012,0
2021-04-27 20:45:02.153922,13,0,28,38,30,101016,0
2021-04-27 21:00:01.364795,13,0,29,37,30,101028,1
2021-04-27 21:15:01.569058,13,,28,37,30,101033,0
2021-04-27 21:30:01.841931,12,,28,37,30,101028,0
2021-04-27 21:45:02.048366,12,,26,41,29,101035,0
2021-04-27 22:00:01.252182,12,,26,43,28,101040,0
2021-04-27 22:15:01.470531,12,,27,40,29,101038,0
2021-04-27 22:30:01.737281,12,,27,31,29,101033,0
2021-04-27 22:45:01.949598,12,,27,32,29,101032,0
2021-04-27 23:00:02.154761,12,,28,33,29,101029,0
2021-04-27 23:15:01.359717,12,,28,31,29,101032,0
2021-04-27 23:30:01.623777,12,,26,36,28,101034,0
2021-04-27 23:45:01.831900,12,,25,40,27,101031,0
2021-04-28 00:00:02.041585,12,,25,41,26,101036,1
2021-04-28 00:15:01.239918,11,,25,41,27,101036,1
2021-04-28 00:30:01.502080,11,,25,41,26,101024,0
2021-04-28 00:45:01.713619,11,,24,42,26,101016,0
2021-04-28 01:00:01.920472,11,,24,42,26,101017,0
2021-04-28 01:15:02.138050,11,,24,42,26,101011,0
2021-04-28 01:30:01.401843,10,,24,42,26,100998,0
2021-04-28 01:45:01.611709,11,,24,41,26,100990,1
2021-04-28 02:00:01.818099,10,,24,41,26,100979,1
2021-04-28 02:15:02.009602,9,,24,41,26,100962,0
2021-04-28 02:30:01.267027,9,0,24,41,26,100943,1
2021-04-28 02:45:01.484159,9,0,24,42,26,100938,1
2021-04-28 03:00:01.714724,9,,24,42,26,100919,0
2021-04-28 03:15:01.922044,9,,24,42,26,100905,1
2021-04-28 03:30:01.162032,9,,24,42,26,100898,0
2021-04-28 03:45:01.372355,9,,24,41,26,100885,0
2021-04-28 04:00:01.575145,8,,24,42,26,100870,0
2021-04-28 04:15:01.778648,8,,24,43,25,100858,0
2021-04-28 04:30:02.045029,8,,24,42,25,100838,0
2021-04-28 04:45:01.252224,8,0,24,42,26,100827,1
2021-04-28 05:00:01.462365,8,,24,42,26,100822,0
2021-04-28 05:15:01.652337,8,,24,42,25,100816,0
2021-04-28 05:30:01.922563,7,0,23,42,25,100810,0
2021-04-28 05:45:02.134615,8,2,23,43,25,100809,1
2021-04-28 06:00:01.340581,7,29,23,43,25,100813,1
2021-04-28 06:15:01.550251,10,83,24,41,25,100819,0
2021-04-28 06:30:01.381079,10,101,24,41,26,100823,0
2021-04-28 06:45:01.584485,12,409,25,37,27,100826,0
2021-04-28 07:00:01.792309,10,167,25,37,27,100825,0
2021-04-28 07:15:02.010416,10,168,26,37,28,100817,0
2021-04-28 07:30:01.268296,7,91,25,36,27,100823,1
2021-04-28 07:45:01.482701,14,97,25,39,27,100821,0
2021-04-28 08:00:01.689942,8,80,24,40,27,100820,0
2021-04-28 08:15:01.890902,9,92,25,40,26,100814,0
2021-04-28 08:30:02.140484,10,86,24,41,26,100811,0
2021-04-28 08:45:01.346931,9,85,25,40,27,100810,1
2021-04-28 09:00:01.559861,9,82,24,41,26,100797,1
2021-04-28 09:15:01.757093,10,78,24,41,26,100785,0
2021-04-28 09:30:02.027712,10,76,24,41,26,100769,0
2021-04-28 09:45:01.237240,9,1541,24,33,25,100778,1
2021-04-28 10:00:01.453637,7,963,12,43,12,100779,1
2021-04-28 10:15:01.668771,9,897,13,42,13,100775,0
2021-04-28 10:30:01.941187,9,833,13,41,14,100751,1
2021-04-28 10:45:02.148372,10,1205,13,41,13,100743,1
2021-04-28 11:00:01.353942,10,781,13,39,14,100739,0
2021-04-28 11:15:01.572642,10,764,14,38,14,100719,0
2021-04-28 11:30:01.832930,12,748,14,41,14,100704,1
2021-04-28 11:45:02.034468,13,736,14,37,15,100682,1
2021-04-28 12:00:01.247873,12,722,14,36,15,100667,0
2021-04-28 12:15:01.453923,14,1002,15,35,15,100662,0
2021-04-28 12:30:01.724607,15,980,17,30,18,100634,0
2021-04-28 12:45:01.932562,16,947,17,31,17,100619,0
2021-04-28 13:00:02.133509,16,692,18,30,18,100605,0
2021-04-28 13:15:01.335084,15,922,17,31,18,100608,0
2021-04-28 13:30:01.606019,15,675,19,26,20,100597,1
2021-04-28 13:45:01.810731,16,757,18,30,18,100578,1
2021-04-28 14:00:02.013787,15,692,19,28,20,100558,0
2021-04-28 14:15:01.227464,16,919,19,28,19,100545,0
2021-04-28 14:30:01.482179,16,643,19,26,20,100530,1
2021-04-28 14:45:01.683622,16,1188,18,30,19,100535,1
2021-04-28 15:00:01.888566,16,850,21,27,21,100509,0
2021-04-28 15:15:02.099872,17,750,20,26,21,100506,0
2021-04-28 15:30:01.352771,17,825,22,24,23,100474,0
2021-04-28 15:45:01.562967,16,1069,21,27,22,100470,0
2021-04-28 16:00:01.777738,17,1061,22,24,23,100457,0
2021-04-28 16:15:01.981532,17,1036,20,26,21,100440,1
2021-04-28 16:30:01.241392,17,696,23,24,24,100419,1
2021-04-28 16:45:01.453557,17,696,19,32,19,100408,0
2021-04-28 17:00:01.662729,18,672,18,31,18,100399,1
2021-04-28 17:15:01.868037,16,665,19,27,20,100396,0
2021-04-28 17:30:02.127914,17,768,18,31,19,100371,1
2021-04-28 17:45:01.330600,16,627,19,30,19,100369,0
2021-04-28 18:00:01.541651,17,609,19,31,19,100365,1
2021-04-28 18:15:01.743176,17,550,18,34,18,100347,0
2021-04-28 18:30:02.013972,17,676,18,31,19,100335,1
2021-04-28 18:45:01.217905,16,477,18,32,18,100313,0
2021-04-28 19:00:01.426897,17,435,17,33,18,100310,0
2021-04-28 19:15:01.635209,17,429,18,33,19,100313,0
2021-04-28 19:30:01.906646,17,407,19,31,19,100284,1
2021-04-28 19:45:02.120837,16,193,18,34,18,100284,1
2021-04-28 20:00:01.305011,17,97,17,40,17,100310,0
2021-04-28 20:15:01.511363,16,46,17,38,17,100327,0
2021-04-28 20:30:01.777906,17,16,17,38,17,100335,1
2021-04-28 20:45:01.971720,17,0,17,39,17,100352,1
2021-04-28 21:00:02.190649,17,0,16,39,17,100378,0
2021-04-28 21:15:01.397731,16,,16,40,17,100372,0
2021-04-28 21:30:01.662879,16,,16,41,16,100361,0
2021-04-28 21:45:01.872814,16,,15,40,16,100343,1
2021-04-28 22:00:02.072050,15,,15,45,15,100333,1
2021-04-28 22:15:01.272079,15,,14,50,14,100306,1
2021-04-28 22:30:01.535153,15,,14,48,14,100288,0
2021-04-28 22:45:01.750918,15,,14,48,14,100268,0
2021-04-28 23:00:01.965852,15,,14,50,14,100262,1
2021-04-28 23:15:02.174774,15,,13,50,14,100264,0
2021-04-28 23:30:01.428089,15,,14,50,14,100263,0
2021-04-28 23:45:01.635212,14,,14,47,15,100252,1
2021-04-29 00:00:01.839607,14,,13,52,14,100229,1
2021-04-29 00:15:02.051635,14,,13,51,14,100217,0
2021-04-29 00:30:01.302888,14,,13,53,14,100202,0
2021-04-29 00:45:01.514029,14,,13,52,14,100172,0
2021-04-29 01:00:01.712957,14,,14,48,14,100162,1
2021-04-29 01:15:01.918197,14,,13,54,14,100162,0
2021-04-29 01:30:02.179382,14,,14,51,14,100151,0
2021-04-29 01:45:01.393217,14,,14,50,14,100134,1
2021-04-29 02:00:01.598684,14,,13,51,14,100127,0
2021-04-29 02:15:01.803552,14,,13,50,14,100124,0
2021-04-29 02:30:02.068071,14,,13,52,14,100130,0
2021-04-29 02:45:01.270497,14,,14,46,15,100127,0
2021-04-29 03:00:01.466107,14,,15,44,16,100111,0
2021-04-29 03:15:01.669238,14,,14,47,14,100106,0
2021-04-29 03:30:01.934610,14,,14,49,15,100099,1
2021-04-29 03:45:02.138759,14,,15,45,15,100086,0
2021-04-29 04:00:01.339515,14,,13,53,14,100092,0
2021-04-29 04:15:01.544340,14,,14,48,15,100065,0
2021-04-29 04:30:01.798750,13,,14,49,14,100045,0
2021-04-29 04:45:02.007727,13,,14,51,14,100028,1
2021-04-29 05:00:01.214307,13,,13,51,14,100009,0
2021-04-29 05:15:01.418224,13,,13,54,14,100001,0
2021-04-29 05:30:01.678172,13,0,14,48,15,99999,0
2021-04-29 05:45:01.880548,13,4,13,59,13,99992,0
2021-04-29 06:00:02.078559,12,20,16,48,17,99996,0
2021-04-29 06:15:01.279696,12,27,14,52,15,99977,0
2021-04-29 06:30:02.086164,12,78,15,49,15,99982,0
2021-04-29 06:45:01.283314,12,152,13,59,14,99974,1
2021-04-29 07:00:01.472657,12,166,15,51,16,99976,0
2021-04-29 07:15:01.678243,10,180,16,49,17,100016,0
2021-04-29 07:30:01.953785,11,369,17,46,17,100003,0
2021-04-29 07:45:02.169522,10,365,17,44,18,99993,0
2021-04-29 08:00:01.369569,11,403,15,51,16,99984,0
2021-04-29 08:15:01.565475,11,635,15,53,16,99972,1
2021-04-29 08:30:01.827014,12,556,18,50,18,99995,0
2021-04-29 08:45:02.036169,11,632,17,51,18,100009,0
